Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Aaron Cresswell,eng ENG,DF,West Ham,35-130,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
Aaron Ramsdale,eng ENG,GK,Southampton,26-345,1998,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-149,1997,31,30,"2,704",30.0,2,2,4,2,0,0,1,0,1.0,1.0,2.7,3.7,93,118,131,0.07,0.07,0.13,0.07,0.13,0.03,0.09,0.12,0.03,0.12,Matches
Abdoulaye Doucouré,ml MLI,MF,Everton,32-113,1993,29,28,"2,335",25.9,3,1,4,3,0,0,5,1,3.7,3.7,2.3,6.0,38,74,88,0.12,0.04,0.15,0.12,0.15,0.14,0.09,0.23,0.14,0.23,Matches
Abdukodir Khusanov,uz UZB,DF,Manchester City,21-054,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-047,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-073,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Adam Lallana,eng ENG,MF,Southampton,36-349,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
Adam Smith,eng ENG,DF,Bournemouth,33-360,1991,21,16,"1,319",14.7,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,12,39,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Adam Webster,eng ENG,DF,Brighton,30-110,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,20-326,2004,19,15,"1,258",14.0,0,2,2,0,0,0,2,0,0.3,0.3,3.0,3.3,14,105,10,0.00,0.14,0.14,0.00,0.14,0.02,0.21,0.24,0.02,0.24,Matches
Adama Traoré,es ESP,"FW,MF",Fulham,29-089,1996,31,16,"1,523",16.9,2,5,7,2,0,0,2,0,3.8,3.8,4.1,7.9,81,57,139,0.12,0.30,0.41,0.12,0.41,0.22,0.24,0.47,0.22,0.47,Matches
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-336,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-297,2004,32,21,"1,966",21.8,5,1,6,5,0,0,2,0,6.2,6.2,3.5,9.7,130,50,260,0.23,0.05,0.27,0.23,0.27,0.28,0.16,0.44,0.28,0.44,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,28-356,1996,33,31,"2,636",29.3,9,5,14,9,0,0,1,0,4.3,4.3,6.4,10.6,128,185,214,0.31,0.17,0.48,0.31,0.48,0.15,0.22,0.36,0.15,0.36,Matches
Alex McCarthy,eng ENG,GK,Southampton,35-142,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Palmer,eng ENG,GK,Ipswich Town,28-257,1996,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Scott,eng ENG,MF,Bournemouth,21-246,2003,16,6,612,6.8,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,12,48,31,0.00,0.00,0.00,0.00,0.00,0.10,0.12,0.21,0.10,0.21,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,25-215,1999,30,30,"2,411",26.8,21,6,27,19,2,2,1,0,17.5,16.0,4.0,20.0,76,74,192,0.78,0.22,1.01,0.71,0.93,0.66,0.15,0.81,0.60,0.75,Matches
Alexis Mac Allister,ar ARG,MF,Liverpool,26-121,1998,32,29,"2,471",27.5,4,4,8,4,0,0,6,0,2.7,2.7,4.4,7.0,32,169,75,0.15,0.15,0.29,0.15,0.29,0.10,0.16,0.26,0.10,0.26,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-054,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Alisson,br BRA,GK,Liverpool,32-204,1992,23,23,"2,058",22.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Alphonse Areola,fr FRA,GK,West Ham,32-056,1993,22,21,"1,900",21.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-287,2002,22,17,"1,594",17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
Amadou Onana,be BEL,MF,Aston Villa,23-251,2001,22,17,"1,348",15.0,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,20,58,13,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches
Andreas Pereira,br BRA,MF,Fulham,29-113,1996,30,22,"1,834",20.4,2,4,6,2,0,1,7,0,3.4,2.6,4.3,7.0,27,98,77,0.10,0.20,0.29,0.10,0.29,0.17,0.21,0.38,0.13,0.34,Matches
Andrew Robertson,sct SCO,DF,Liverpool,31-044,1994,30,26,"2,218",24.6,0,0,0,0,0,0,3,1,0.9,0.9,4.1,5.1,57,163,90,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.21,0.04,0.21,Matches
André,br BRA,MF,Wolves,23-282,2001,28,26,"2,087",23.2,0,0,0,0,0,0,7,0,0.3,0.3,0.7,0.9,8,90,11,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
André Onana,cm CMR,GK,Manchester Utd,29-022,1996,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Andrés García,es ESP,"DF,MF",Aston Villa,22-076,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Andy Irving,sct SCO,MF,West Ham,24-346,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
Anthony Elanga,se SWE,FW,Nott'ham Forest,22-362,2002,33,26,"2,052",22.8,6,9,15,6,0,0,1,0,3.9,3.9,4.4,8.4,79,47,164,0.26,0.39,0.66,0.26,0.66,0.17,0.19,0.37,0.17,0.37,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,24-059,2001,29,25,"2,176",24.2,6,5,11,5,1,2,2,0,7.9,6.3,4.9,11.2,108,91,190,0.25,0.21,0.45,0.21,0.41,0.33,0.20,0.53,0.26,0.46,Matches
Antoine Semenyo,gh GHA,FW,Bournemouth,25-107,2000,32,32,"2,823",31.4,8,4,12,8,0,0,9,0,9.1,9.1,5.7,14.8,132,103,258,0.26,0.13,0.38,0.26,0.38,0.29,0.18,0.47,0.29,0.47,Matches
Antonee Robinson,us USA,DF,Fulham,27-259,1997,33,32,"2,899",32.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,110,120,257,0.00,0.31,0.31,0.00,0.31,0.02,0.13,0.15,0.02,0.15,Matches
Antony,br BRA,"DF,MF",Manchester Utd,25-059,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
Antonín Kinský,cz CZE,GK,Tottenham,22-042,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Archie Gray,eng ENG,"DF,MF",Tottenham,19-043,2006,23,14,"1,346",15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,31,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Arijanet Muric,xk KVX,GK,Ipswich Town,26-168,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Armando Broja,al ALB,FW,Everton,23-226,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Armel Bella Kotchap,de GER,DF,Southampton,23-134,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Ashley Young,eng ENG,"DF,FW",Everton,39-289,1985,27,17,"1,586",17.6,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,19,81,25,0.06,0.17,0.23,0.06,0.23,0.02,0.09,0.10,0.02,0.10,Matches
Axel Disasi,fr FRA,DF,Chelsea,27-044,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
Axel Disasi,fr FRA,DF,Aston Villa,27-044,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Axel Tuanzebe,cd COD,DF,Ipswich Town,27-161,1997,18,17,"1,445",16.1,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,45,8,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Matches
Ayden Heaven,eng ENG,DF,Manchester Utd,18-214,2006,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bart Verbruggen,nl NED,GK,Brighton,22-249,2002,31,31,"2,790",31.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Ben Brereton,cl CHI,FW,Southampton,26-006,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Ben Chilwell,eng ENG,DF,Crystal Palace,28-124,1996,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
Ben Davies,wls WAL,DF,Tottenham,32-000,1993,12,10,946,10.5,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,13,48,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Ben Godfrey,eng ENG,DF,Ipswich Town,27-099,1998,2,2,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-090,2000,21,13,"1,312",14.6,1,2,3,1,0,0,3,0,1.1,1.1,1.3,2.3,16,25,32,0.07,0.14,0.21,0.07,0.21,0.07,0.09,0.16,0.07,0.16,Matches
Ben Mee,eng ENG,DF,Brentford,35-215,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben White,eng ENG,DF,Arsenal,27-198,1997,13,9,856,9.5,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,10,42,27,0.00,0.11,0.11,0.00,0.11,0.04,0.09,0.13,0.04,0.13,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,24-029,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Silva,pt POR,"MF,FW",Manchester City,30-257,1994,29,25,"2,311",25.7,3,4,7,3,0,0,7,0,3.2,3.2,4.2,7.5,92,109,180,0.12,0.16,0.27,0.12,0.27,0.13,0.17,0.29,0.13,0.29,Matches
Bernd Leno,de GER,GK,Fulham,33-051,1992,33,33,"2,970",33.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Beto,gw GNB,FW,Everton,27-083,1998,25,10,"1,129",12.5,6,0,6,6,0,0,2,0,6.1,6.1,0.8,6.9,12,9,58,0.48,0.00,0.48,0.48,0.48,0.48,0.06,0.55,0.48,0.55,Matches
Bilal El Khannouss,ma MAR,MF,Leicester City,20-349,2004,28,23,"1,838",20.4,2,2,4,2,0,0,4,0,0.8,0.8,3.1,3.9,61,112,71,0.10,0.10,0.20,0.10,0.20,0.04,0.15,0.19,0.04,0.19,Matches
Billy Gilmour,sct SCO,MF,Brighton,23-317,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Bobby Reid,jm JAM,FW,Leicester City,32-081,1993,22,8,700,7.8,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,13,14,44,0.13,0.26,0.39,0.13,0.39,0.10,0.15,0.25,0.10,0.25,Matches
Boubacar Kamara,fr FRA,MF,Aston Villa,25-152,1999,22,16,"1,373",15.3,0,0,0,0,0,0,2,0,0.4,0.4,0.9,1.3,16,72,5,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Boubakary Soumaré,fr FRA,MF,Leicester City,26-056,1999,26,22,"1,908",21.2,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,31,93,21,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Brajan Gruda,de GER,"FW,MF",Brighton,20-328,2004,16,6,498,5.5,0,1,1,0,0,0,0,0,0.4,0.4,0.7,1.1,15,17,46,0.00,0.18,0.18,0.00,0.18,0.07,0.13,0.20,0.07,0.20,Matches
Brennan Johnson,wls WAL,FW,Tottenham,23-336,2001,30,22,"1,993",22.1,11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,68,192,0.50,0.14,0.63,0.50,0.63,0.44,0.10,0.55,0.44,0.55,Matches
Bruno Fernandes,pt POR,MF,Manchester Utd,30-228,1994,32,31,"2,668",29.6,8,9,17,5,3,3,4,2,9.4,7.1,6.8,13.8,62,264,114,0.27,0.30,0.57,0.17,0.47,0.32,0.23,0.55,0.24,0.47,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,27-159,1997,33,33,"2,822",31.4,4,6,10,4,0,0,6,0,3.5,3.5,5.6,9.1,49,227,75,0.13,0.19,0.32,0.13,0.32,0.11,0.18,0.29,0.11,0.29,Matches
Bryan Mbeumo,cm CMR,FW,Brentford,25-260,1999,33,33,"2,964",32.9,18,6,24,13,5,5,2,0,10.6,6.6,7.8,14.5,110,125,300,0.55,0.18,0.73,0.39,0.58,0.32,0.24,0.56,0.20,0.44,Matches
Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-231,2001,21,17,"1,454",16.2,6,10,16,5,1,1,3,0,5.9,5.1,6.7,11.8,79,61,222,0.37,0.62,0.99,0.31,0.93,0.36,0.42,0.78,0.31,0.73,Matches
Caleb Okoli,it ITA,DF,Leicester City,23-285,2001,18,12,"1,124",12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-168,2000,28,24,"2,107",23.4,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,126,66,186,0.21,0.09,0.30,0.21,0.30,0.11,0.11,0.22,0.11,0.22,Matches
Callum Wilson,eng ENG,FW,Newcastle Utd,33-056,1992,13,1,254,2.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,3,9,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
Calvin Bassey,ng NGA,DF,Fulham,25-114,1999,31,30,"2,714",30.2,1,0,1,1,0,0,6,0,1.0,1.0,0.1,1.1,25,95,12,0.03,0.00,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.03,Matches
Cameron Archer,eng ENG,FW,Southampton,23-277,2001,30,13,"1,336",14.8,2,0,2,2,0,1,0,0,5.1,4.3,0.4,4.6,19,14,62,0.13,0.00,0.13,0.13,0.13,0.34,0.02,0.37,0.29,0.31,Matches
Cameron Burgess,au AUS,DF,Ipswich Town,29-185,1995,15,13,"1,271",14.1,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.2,2,38,4,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,26-152,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-145,2002,10,4,446,5.0,1,1,2,1,0,0,3,0,1.3,1.3,1.1,2.4,11,24,9,0.20,0.20,0.40,0.20,0.40,0.26,0.23,0.49,0.26,0.49,Matches
Carlos Baleba,cm CMR,MF,Brighton,21-111,2004,29,26,"2,223",24.7,2,1,3,2,0,0,8,1,3.0,3.0,1.3,4.2,39,108,26,0.08,0.04,0.12,0.08,0.12,0.12,0.05,0.17,0.12,0.17,Matches
Carlos Forbs,pt POR,"MF,FW",Wolves,21-036,2004,9,1,237,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,9,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
Carlos Soler,es ESP,"MF,FW",West Ham,28-112,1997,28,14,"1,347",15.0,1,1,2,1,0,0,5,0,1.7,1.7,1.2,2.9,16,52,33,0.07,0.07,0.13,0.07,0.13,0.11,0.08,0.19,0.11,0.19,Matches
Casemiro,br BRA,MF,Manchester Utd,33-060,1992,21,15,"1,271",14.1,1,0,1,1,0,0,3,0,1.5,1.5,2.2,3.7,4,65,26,0.07,0.00,0.07,0.07,0.07,0.10,0.16,0.26,0.10,0.26,Matches
Charlie Taylor,eng ENG,DF,Southampton,31-218,1993,7,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Cheick Doucouré,ml MLI,MF,Crystal Palace,25-106,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-358,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Chris Richards,us USA,DF,Crystal Palace,25-027,2000,20,18,"1,562",17.4,1,0,1,1,0,0,4,1,1.2,1.2,0.1,1.3,5,34,1,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,33-138,1991,31,30,"2,509",27.9,19,3,22,16,3,3,1,0,11.1,8.8,2.3,11.0,13,34,74,0.68,0.11,0.79,0.57,0.68,0.40,0.08,0.48,0.31,0.40,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,33-069,1992,19,11,993,11.0,0,1,1,0,0,0,4,0,0.3,0.3,2.6,2.9,10,49,28,0.00,0.09,0.09,0.00,0.09,0.02,0.24,0.26,0.02,0.26,Matches
Christian Nørgaard,dk DEN,MF,Brentford,31-045,1994,29,29,"2,369",26.3,5,2,7,5,0,0,5,1,3.6,3.6,0.8,4.4,12,122,34,0.19,0.08,0.27,0.19,0.27,0.14,0.03,0.17,0.14,0.17,Matches
Christian Walton,eng ENG,GK,Ipswich Town,29-166,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christopher Nkunku,fr FRA,FW,Chelsea,27-161,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.20,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches
Cody Gakpo,nl NED,FW,Liverpool,25-352,1999,30,18,"1,560",17.3,8,3,11,8,0,0,4,0,6.2,6.2,3.5,9.7,45,49,237,0.46,0.17,0.63,0.46,0.63,0.36,0.20,0.56,0.36,0.56,Matches
Cole Palmer,eng ENG,MF,Chelsea,22-353,2002,32,31,"2,742",30.5,14,8,22,11,3,4,6,0,15.8,12.7,9.2,21.9,101,191,161,0.46,0.26,0.72,0.36,0.62,0.52,0.30,0.82,0.42,0.72,Matches
Conor Bradley,nir NIR,DF,Liverpool,21-289,2003,15,4,533,5.9,0,1,1,0,0,0,3,0,0.6,0.6,0.5,1.1,26,25,27,0.00,0.17,0.17,0.00,0.17,0.10,0.08,0.18,0.10,0.18,Matches
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-067,1997,17,7,625,6.9,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.14,0.14,0.29,0.14,0.29,0.17,0.09,0.26,0.17,0.26,Matches
Conor Coady,eng ENG,DF,Leicester City,32-058,1993,17,14,"1,264",14.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Conor Townsend,eng ENG,DF,Ipswich Town,32-051,1993,6,3,335,3.7,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,8,13,0.00,0.27,0.27,0.00,0.27,0.01,0.18,0.18,0.01,0.18,Matches
Craig Dawson,eng ENG,DF,Wolves,34-353,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Cristian Romero,ar ARG,DF,Tottenham,26-362,1998,18,18,"1,416",15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14,Matches
Crysencio Summerville,nl NED,"FW,MF",West Ham,23-176,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
Curtis Jones,eng ENG,"MF,DF",Liverpool,24-084,2001,28,16,"1,415",15.7,3,3,6,3,0,0,3,1,4.1,4.1,1.0,5.1,21,83,67,0.19,0.19,0.38,0.19,0.38,0.26,0.06,0.32,0.26,0.32,Matches
Daichi Kamada,jp JPN,MF,Crystal Palace,28-262,1996,30,13,"1,338",14.9,0,0,0,0,0,0,3,1,1.0,1.0,1.8,2.8,23,73,52,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19,Matches
Dan Burn,eng ENG,DF,Newcastle Utd,32-350,1992,32,32,"2,880",32.0,0,0,0,0,0,0,9,0,1.3,1.3,0.8,2.1,9,54,9,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07,Matches
Dango Ouattara,bf BFA,FW,Bournemouth,23-072,2002,30,19,"1,843",20.5,7,4,11,7,0,0,2,0,8.2,8.2,5.2,13.3,73,41,184,0.34,0.20,0.54,0.34,0.54,0.40,0.25,0.65,0.40,0.65,Matches
Daniel Muñoz,co COL,DF,Crystal Palace,28-333,1996,33,33,"2,868",31.9,4,4,8,4,0,0,9,0,4.6,4.6,4.4,9.0,49,83,183,0.13,0.13,0.25,0.13,0.25,0.14,0.14,0.28,0.14,0.28,Matches
Danilo,br BRA,"MF,FW",Nott'ham Forest,23-360,2001,7,5,267,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Danny Ings,eng ENG,"FW,MF",West Ham,32-275,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Matches
Danny Ward,wls WAL,GK,Leicester City,31-306,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Danny Welbeck,eng ENG,FW,Brighton,34-149,1990,26,20,"1,762",19.6,9,4,13,9,0,0,4,0,8.0,8.0,1.1,9.1,18,39,77,0.46,0.20,0.66,0.46,0.66,0.41,0.05,0.47,0.41,0.47,Matches
Dara O'Shea,ie IRL,DF,Ipswich Town,26-051,1999,30,30,"2,672",29.7,0,2,2,0,0,0,6,0,1.1,1.1,0.5,1.7,3,70,6,0.00,0.07,0.07,0.00,0.07,0.04,0.02,0.06,0.04,0.06,Matches
Darwin Núñez,uy URU,FW,Liverpool,25-304,1999,25,8,"1,010",11.2,5,2,7,5,0,0,8,0,5.0,5.0,1.2,6.2,20,25,67,0.45,0.18,0.62,0.45,0.62,0.44,0.11,0.55,0.44,0.55,Matches
