Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sam Johnstone,eng ENG,GK,Wolves,32-030,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sam Morsy,eg EGY,MF,Ipswich Town,33-226,1991,28,26,"2,329",25.9,1,1,2,1,0,0,9,0,0.3,0.3,0.8,1.1,14,101,9,0.04,0.04,0.08,0.04,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-212,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.00,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches
Sander Berge,no NOR,MF,Fulham,27-069,1998,26,22,"1,972",21.9,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,25,105,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Sandro Tonali,it ITA,MF,Newcastle Utd,24-351,2000,31,23,"2,180",24.2,3,2,5,3,0,0,5,0,3.5,3.5,1.0,4.5,32,96,43,0.12,0.08,0.21,0.12,0.21,0.15,0.04,0.19,0.15,0.19,Matches
Santiago Bueno,uy URU,DF,Wolves,26-166,1998,26,18,"1,671",18.6,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Saša Lukić,rs SRB,MF,Fulham,28-254,1996,26,25,"2,034",22.6,0,2,2,0,0,0,12,0,0.9,0.9,2.6,3.5,37,83,28,0.00,0.09,0.09,0.00,0.09,0.04,0.11,0.16,0.04,0.16,Matches
Sean Longstaff,eng ENG,MF,Newcastle Utd,27-176,1997,24,8,797,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Sepp van den Berg,nl NED,DF,Brentford,23-125,2001,26,24,"2,136",23.7,0,0,0,0,0,0,2,0,1.4,1.4,0.2,1.6,8,66,27,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Sergio Reguilón,es ESP,DF,Tottenham,28-129,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-113,2002,24,8,826,9.2,2,1,3,2,0,0,0,0,2.2,2.2,1.7,3.9,30,14,105,0.22,0.11,0.33,0.22,0.33,0.23,0.19,0.42,0.23,0.42,Matches
Solly March,eng ENG,"FW,MF",Brighton,30-278,1994,7,0,106,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.3,2,1,14,0.00,0.00,0.00,0.00,0.00,0.06,0.23,0.29,0.06,0.29,Matches
Son Heung-min,kr KOR,FW,Tottenham,32-290,1992,28,23,"2,004",22.3,7,9,16,6,1,2,1,0,7.0,5.4,8.2,13.7,87,104,259,0.31,0.40,0.72,0.27,0.67,0.31,0.37,0.68,0.24,0.61,Matches
Stefan Ortega,de GER,GK,Manchester City,32-169,1992,13,12,"1,100",12.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Stephy Mavididi,eng ENG,FW,Leicester City,26-328,1998,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.10,0.15,0.25,0.10,0.25,Matches
Sven Botman,nl NED,DF,Newcastle Utd,25-102,2000,3,3,224,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Sávio,br BRA,"FW,MF",Manchester City,21-014,2004,27,21,"1,734",19.3,1,8,9,1,0,0,3,0,4.9,4.9,6.8,11.6,133,66,239,0.05,0.42,0.47,0.05,0.47,0.25,0.35,0.60,0.25,0.60,Matches
Séamus Coleman,ie IRL,DF,Everton,36-195,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-255,1997,24,3,378,4.2,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,19,0.24,0.00,0.24,0.24,0.24,0.50,0.03,0.53,0.50,0.53,Matches
