player_name,transfer_value
Kieran Trippier,€5.00m
Kobbie Mainoo,€55.00m
Konstantinos Mavropanos,€17.00m
Kristoffer Ajer,€18.00m
Kyle Walker,€6.00m
Kyle Walker-Peters,€18.00m
Leandro Trossard,€30.00m
Leif Davis,€25.00m
Leny Yoro,€55.00m
Leon Bailey,€32.00m
Lesley Ugochukwu,€20.00m
Levi Colwill,€55.00m
Lewis Cook,€15.00m
Lewis Dunk,€8.00m
Lewis Hall,"€30.00m
Last update: Mar 18, 2025"
Liam Delap,"€35.00m
Last update: Mar 18, 2025"
Lisandro Martínez,€45.00m
Lucas Bergvall,€25.00m
Lucas Digne,"€12.00m
Last update: Dec 16, 2024"
Lucas Paquetá,"€35.00m
Last update: Mar 18, 2025"
Luis Díaz,"€85.00m
Last update: Dec 16, 2024"
Luke Woolfenden,€2.00m
Mads Hermansen,€15.00m
Mads Roerslev,€8.00m
Malo Gusto,€35.00m
Manuel Akanji,"€32.00m
Last update: Mar 18, 2025"
Manuel Ugarte Ribeiro,"€50.00m
Last update: Dec 16, 2024"
Marc Cucurella,"€30.00m
Last update: Dec 16, 2024"
Marc Guéhi,€45.00m
Marcos Senesi,"€24.00m
Last update: Dec 16, 2024"
Marcus Rashford,€50.00m
Marcus Tavernier,€20.00m
Mario Lemina,€7.50m
Mark Flekken,€10.00m
Martin Ødegaard,€100.00m
Mateo Kovačić,€25.00m
Mateus Fernandes,€15.00m
Matheus Cunha,€55.00m
Matheus Nunes,€35.00m
Matt Doherty,"€2.50m
Last update: Dec 16, 2024"
Matthijs de Ligt,"€40.00m
Last update: Mar 18, 2025"
Matty Cash,€28.00m
Matz Sels,"€7.00m
Last update: Dec 16, 2024"
Max Kilman,€30.00m
Maxence Lacroix,"€22.00m
Last update: Mar 18, 2025"
Micky van de Ven,€55.00m
Mikel Merino,"€35.00m
Last update: Mar 18, 2025"
Mikkel Damsgaard,"€25.00m
Last update: Mar 18, 2025"
Milos Kerkez,€35.00m
Mohamed Salah,€55.00m
